,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
13,25,Martinez Caro Larysmer ,OH,0,0,0,0,,DOM,BLOCK,1,21,13755,0
0,4,Peralta Luna Vielka Michelle ,OH,1,1,0,2,0.00,DOM,BLOCK,2,17,13755,0
1,24,Gonzalez Geraldine Sthefany ,MB,1,1,1,3,0.00,DOM,BLOCK,2,17,13755,0
2,2,Rodriguez Duran Yaneirys ,L,0,0,0,0,,DOM,BLOCK,2,17,13755,0
3,3,Rabit Esthefany ,L,0,1,0,1,-100.00,DOM,BLOCK,2,17,13755,0
4,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,0,,DOM,BLOCK,2,17,13755,0
5,7,Marte Frica Niverka Dharlenis (C),S,0,0,0,0,,DOM,BLOCK,2,17,13755,0
6,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,0,,DOM,BLOCK,2,17,13755,0
7,15,Guillen Paredes Madeline Jazmin ,OH,0,0,0,0,,DOM,BLOCK,2,17,13755,0
8,16,Peña Isabel Yonkaira Paola ,OH,0,0,0,0,,DOM,BLOCK,2,17,13755,0
9,17,Mambru Casilla Gina Altagracia ,O,0,1,0,1,-100.00,DOM,BLOCK,2,17,13755,0
10,20,Martinez Brayelin Elizabeth ,OH,0,0,0,0,,DOM,BLOCK,2,17,13755,0
11,21,Martinez Jineiry ,MB,0,0,0,0,,DOM,BLOCK,2,17,13755,0
12,23,Gonzalez Lopez Gaila Ceneida ,O,0,0,0,0,,DOM,BLOCK,2,17,13755,0
13,25,Martinez Caro Larysmer ,OH,0,0,0,0,,DOM,BLOCK,2,17,13755,0
0,3,Rabit Esthefany ,L,1,0,0,1,100.00,DOM,BLOCK,3,18,13755,0
1,2,Rodriguez Duran Yaneirys ,L,0,0,0,0,,DOM,BLOCK,3,18,13755,0
2,4,Peralta Luna Vielka Michelle ,OH,0,1,0,1,-100.00,DOM,BLOCK,3,18,13755,0
3,6,Dominguez Martinez Camil Inmaculada ,S,0,0,0,0,,DOM,BLOCK,3,18,13755,0
4,7,Marte Frica Niverka Dharlenis (C),S,0,0,0,0,,DOM,BLOCK,3,18,13755,0
5,9,Hinojosa Diaz Angelica Maria ,MB,0,0,0,0,,DOM,BLOCK,3,18,13755,0
6,15,Guillen Paredes Madeline Jazmin ,OH,0,0,0,0,,DOM,BLOCK,3,18,13755,0
7,16,Peña Isabel Yonkaira Paola ,OH,0,0,1,1,0.00,DOM,BLOCK,3,18,13755,0
8,17,Mambru Casilla Gina Altagracia ,O,0,0,1,1,0.00,DOM,BLOCK,3,18,13755,0
9,20,Martinez Brayelin Elizabeth ,OH,0,0,0,0,,DOM,BLOCK,3,18,13755,0
10,21,Martinez Jineiry ,MB,0,0,0,0,,DOM,BLOCK,3,18,13755,0
11,23,Gonzalez Lopez Gaila Ceneida ,O,0,0,2,2,0.00,DOM,BLOCK,3,18,13755,0
12,24,Gonzalez Geraldine Sthefany ,MB,0,2,0,2,-100.00,DOM,BLOCK,3,18,13755,0
13,25,Martinez Caro Larysmer ,OH,0,0,0,0,,DOM,BLOCK,3,18,13755,0
0,14,Erdem Dündar Eda (C),MB,3,4,5,12,-8.33,TUR,BLOCK,0,0,13757,
1,18,Gunes Zehra ,MB,2,5,2,9,-33.33,TUR,BLOCK,0,0,13757,
2,7,Baladin Hande ,OH,1,1,1,3,0.00,TUR,BLOCK,0,0,13757,
3,99,Karakurt Ebrar ,O,1,2,3,6,-16.67,TUR,BLOCK,0,0,13757,
4,1,Arici Beyza ,MB,0,0,0,0,,TUR,BLOCK,0,0,13757,
5,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,BLOCK,0,0,13757,
6,3,Özbay Cansu ,S,0,4,1,5,-80.00,TUR,BLOCK,0,0,13757,
7,5,Akbay Bahar ,MB,0,0,0,0,,TUR,BLOCK,0,0,13757,
8,6,Sahin Saliha ,OH,0,1,1,2,-50.00,TUR,BLOCK,0,0,13757,
9,9,Diken Meliha ,O,0,0,0,0,,TUR,BLOCK,0,0,13757,
10,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,BLOCK,0,0,13757,
11,17,Caliskan Sila ,S,0,0,0,0,,TUR,BLOCK,0,0,13757,
12,19,Kapucu Ceren ,O,0,0,0,0,,TUR,BLOCK,0,0,13757,
13,22,Aydin İlkin ,OH,0,0,0,0,,TUR,BLOCK,0,0,13757,
0,18,Gunes Zehra ,MB,1,3,1,5,-40.00,TUR,BLOCK,1,25,13757,1
1,1,Arici Beyza ,MB,0,0,0,0,,TUR,BLOCK,1,25,13757,1
2,2,Akoz Simge Sebnem ,L,0,0,0,0,,TUR,BLOCK,1,25,13757,1
3,3,Özbay Cansu ,S,0,1,0,1,-100.00,TUR,BLOCK,1,25,13757,1
4,5,Akbay Bahar ,MB,0,0,0,0,,TUR,BLOCK,1,25,13757,1
5,6,Sahin Saliha ,OH,0,0,0,0,,TUR,BLOCK,1,25,13757,1
6,7,Baladin Hande ,OH,0,0,0,0,,TUR,BLOCK,1,25,13757,1
7,9,Diken Meliha ,O,0,0,0,0,,TUR,BLOCK,1,25,13757,1
8,10,Aykac Altıntaş Ayca ,L,0,0,0,0,,TUR,BLOCK,1,25,13757,1
9,14,Erdem Dündar Eda (C),MB,0,2,1,3,-66.67,TUR,BLOCK,1,25,13757,1
10,17,Caliskan Sila ,S,0,0,0,0,,TUR,BLOCK,1,25,13757,1
11,19,Kapucu Ceren ,O,0,0,0,0,,TUR,BLOCK,1,25,13757,1
12,22,Aydin İlkin ,OH,0,0,0,0,,TUR,BLOCK,1,25,13757,1
13,99,Karakurt Ebrar ,O,0,1,1,2,-50.00,TUR,BLOCK,1,25,13757,1
0,14,Erdem Dündar Eda (C),MB,2,2,2,6,0.00,TUR,BLOCK,2,25,13757,1
1,7,Baladin Hande ,OH,1,0,1,2,50.00,TUR,BLOCK,2,25,13757,1
2,99,Karakurt Ebrar ,O,1,1,1,3,0.00,TUR,BLOCK,2,25,13757,1
3,1,Arici Beyza ,MB,0,0,0,0,,TUR,BLOCK,2,25,13757,1
