Unnamed: 0,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
4,5,Battistoni Ilaria ,S,0,0,0,0,,ITA,SERVE,5,15,16026,1.0
5,11,Danesi Anna ,MB,0,0,0,0,,ITA,SERVE,5,15,16026,1.0
6,12,Mazzaro Alessia ,MB,0,0,4,4,0.0,ITA,SERVE,5,15,16026,1.0
7,16,D'Odorico Sofia ,OH,0,1,0,1,-100.0,ITA,SERVE,5,15,16026,1.0
8,17,Sylla Myriam Fatime (C),OH,0,0,0,0,,ITA,SERVE,5,15,16026,1.0
9,19,Squarcini Federica ,MB,0,0,1,1,0.0,ITA,SERVE,5,15,16026,1.0
10,20,Parrocchiale Beatrice ,L,0,0,0,0,,ITA,SERVE,5,15,16026,1.0
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,SERVE,5,15,16026,1.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,SERVE,5,15,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,SERVE,5,15,16026,1.0
0,5,Nuekjang Thatdao ,MB,1,0,24,25,4.0,THA,SERVE,0,0,16026,
1,16,Kokram Pimpichaya ,O,1,3,16,20,-10.0,THA,SERVE,0,0,16026,
2,1,Srithong Wipawee ,OH,0,0,4,4,0.0,THA,SERVE,0,0,16026,
3,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,SERVE,0,0,16026,
4,3,Guedpard Pornpun ,S,0,0,14,14,0.0,THA,SERVE,0,0,16026,
5,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,SERVE,0,0,16026,
6,12,Bamrungsuk Hattaya ,MB,0,2,10,12,-16.67,THA,SERVE,0,0,16026,
7,17,Janthawisut Sasipapron ,OH,0,0,5,5,0.0,THA,SERVE,0,0,16026,
8,18,Kongyot Ajcharaporn ,OH,0,1,14,15,-6.67,THA,SERVE,0,0,16026,
9,19,Moksri Chatchu-On ,OH,0,3,11,14,-21.43,THA,SERVE,0,0,16026,
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,SERVE,0,0,16026,
11,21,Sooksod Thanacha ,O,0,0,2,2,0.0,THA,SERVE,0,0,16026,
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,SERVE,0,0,16026,
13,99,Bundasak Jarasporn ,MB,0,1,0,1,-100.0,THA,SERVE,0,0,16026,
0,1,Srithong Wipawee ,OH,0,0,1,1,0.0,THA,SERVE,1,26,16026,1.0
1,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,SERVE,1,26,16026,1.0
2,3,Guedpard Pornpun ,S,0,0,2,2,0.0,THA,SERVE,1,26,16026,1.0
3,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,SERVE,1,26,16026,1.0
4,5,Nuekjang Thatdao ,MB,0,0,4,4,0.0,THA,SERVE,1,26,16026,1.0
5,12,Bamrungsuk Hattaya ,MB,0,1,3,4,-25.0,THA,SERVE,1,26,16026,1.0
6,16,Kokram Pimpichaya ,O,0,0,7,7,0.0,THA,SERVE,1,26,16026,1.0
7,17,Janthawisut Sasipapron ,OH,0,0,0,0,,THA,SERVE,1,26,16026,1.0
8,18,Kongyot Ajcharaporn ,OH,0,0,4,4,0.0,THA,SERVE,1,26,16026,1.0
9,19,Moksri Chatchu-On ,OH,0,2,2,4,-50.0,THA,SERVE,1,26,16026,1.0
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,SERVE,1,26,16026,1.0
11,21,Sooksod Thanacha ,O,0,0,0,0,,THA,SERVE,1,26,16026,1.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,SERVE,1,26,16026,1.0
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,SERVE,1,26,16026,1.0
0,16,Kokram Pimpichaya ,O,1,2,0,3,-33.33,THA,SERVE,2,17,16026,0.0
1,1,Srithong Wipawee ,OH,0,0,0,0,,THA,SERVE,2,17,16026,0.0
2,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,SERVE,2,17,16026,0.0
3,3,Guedpard Pornpun ,S,0,0,3,3,0.0,THA,SERVE,2,17,16026,0.0
4,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,SERVE,2,17,16026,0.0
5,5,Nuekjang Thatdao ,MB,0,0,2,2,0.0,THA,SERVE,2,17,16026,0.0
6,12,Bamrungsuk Hattaya ,MB,0,0,2,2,0.0,THA,SERVE,2,17,16026,0.0
7,17,Janthawisut Sasipapron ,OH,0,0,0,0,,THA,SERVE,2,17,16026,0.0
8,18,Kongyot Ajcharaporn ,OH,0,1,1,2,-50.0,THA,SERVE,2,17,16026,0.0
9,19,Moksri Chatchu-On ,OH,0,0,3,3,0.0,THA,SERVE,2,17,16026,0.0
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,SERVE,2,17,16026,0.0
11,21,Sooksod Thanacha ,O,0,0,1,1,0.0,THA,SERVE,2,17,16026,0.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,SERVE,2,17,16026,0.0
13,99,Bundasak Jarasporn ,MB,0,1,0,1,-100.0,THA,SERVE,2,17,16026,0.0
0,5,Nuekjang Thatdao ,MB,1,0,7,8,12.5,THA,SERVE,3,29,16026,1.0
1,1,Srithong Wipawee ,OH,0,0,1,1,0.0,THA,SERVE,3,29,16026,1.0
2,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,SERVE,3,29,16026,1.0
3,3,Guedpard Pornpun ,S,0,0,2,2,0.0,THA,SERVE,3,29,16026,1.0
4,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,SERVE,3,29,16026,1.0
5,12,Bamrungsuk Hattaya ,MB,0,1,1,2,-50.0,THA,SERVE,3,29,16026,1.0
6,16,Kokram Pimpichaya ,O,0,1,4,5,-20.0,THA,SERVE,3,29,16026,1.0
7,17,Janthawisut Sasipapron ,OH,0,0,3,3,0.0,THA,SERVE,3,29,16026,1.0
8,18,Kongyot Ajcharaporn ,OH,0,0,6,6,0.0,THA,SERVE,3,29,16026,1.0
9,19,Moksri Chatchu-On ,OH,0,0,2,2,0.0,THA,SERVE,3,29,16026,1.0
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,SERVE,3,29,16026,1.0
11,21,Sooksod Thanacha ,O,0,0,0,0,,THA,SERVE,3,29,16026,1.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,SERVE,3,29,16026,1.0
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,SERVE,3,29,16026,1.0
0,1,Srithong Wipawee ,OH,0,0,0,0,,THA,SERVE,4,28,16026,0.0
1,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,SERVE,4,28,16026,0.0
2,3,Guedpard Pornpun ,S,0,0,5,5,0.0,THA,SERVE,4,28,16026,0.0
3,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,SERVE,4,28,16026,0.0
4,5,Nuekjang Thatdao ,MB,0,0,7,7,0.0,THA,SERVE,4,28,16026,0.0
5,12,Bamrungsuk Hattaya ,MB,0,0,3,3,0.0,THA,SERVE,4,28,16026,0.0
