,Player No,Player Name,Position,Point,Errors,Touches,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
0,1,Kurogo Ai ,OH,1,2,1,4,-25.00,JPN,BLOCK,3,25,11833,1
1,3,Shimamura Haruyo ,MB,1,3,3,7,-28.57,JPN,BLOCK,3,25,11833,1
2,5,Araki Erika (C),MB,1,1,4,6,0.00,JPN,BLOCK,3,25,11833,1
3,21,Hayashi Kotona ,OH,1,0,0,1,100.00,JPN,BLOCK,3,25,11833,1
4,2,Nishida Sarina ,OH,0,1,0,1,-100.00,JPN,BLOCK,3,25,11833,1
5,7,Ishii Yuki ,OH,0,0,0,0,,JPN,BLOCK,3,25,11833,1
6,8,Ishikawa Mayu ,OH,0,1,1,2,-50.00,JPN,BLOCK,3,25,11833,1
7,9,Tashiro Kanami ,S,0,0,0,0,,JPN,BLOCK,3,25,11833,1
8,13,Okumura Mai ,MB,0,0,0,0,,JPN,BLOCK,3,25,11833,1
9,14,Kobata Mako ,L,0,0,0,0,,JPN,BLOCK,3,25,11833,1
10,15,Inoue Kotoe ,L,0,0,0,0,,JPN,BLOCK,3,25,11833,1
11,19,Yamada Nichika ,MB,0,0,0,0,,JPN,BLOCK,3,25,11833,1
12,20,Seki Nanami ,S,0,0,0,0,,JPN,BLOCK,3,25,11833,1
13,24,Momii Aki ,S,0,1,1,2,-50.00,JPN,BLOCK,3,25,11833,1
0,5,Thinkaow Pleumjit ,MB,1,2,2,5,-20.00,THA,BLOCK,0,0,11833,
1,6,Sittirak Onuma ,OH,1,0,2,3,33.33,THA,BLOCK,0,0,11833,
2,2,Pannoy Piyanut ,L,0,0,0,0,,THA,BLOCK,0,0,11833,
3,3,ManaKij Sirima ,S,0,0,0,0,,THA,BLOCK,0,0,11833,
4,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,BLOCK,0,0,11833,
5,9,Chuewulim Sutadta ,OH,0,0,1,1,0.00,THA,BLOCK,0,0,11833,
6,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,BLOCK,0,0,11833,
7,11,Hyapha Amporn ,MB,0,0,0,0,,THA,BLOCK,0,0,11833,
8,12,Chaisri Tapaphaipun ,L,0,0,0,0,,THA,BLOCK,0,0,11833,
9,13,Tomkom Nootsara ,S,0,0,0,0,,THA,BLOCK,0,0,11833,
10,14,Juangjan Pattiya ,OH,0,1,0,1,-100.00,THA,BLOCK,0,0,11833,
11,15,Kanthong Malika ,O,0,1,3,4,-25.00,THA,BLOCK,0,0,11833,
12,19,Krause Karina ,MB,0,3,1,4,-75.00,THA,BLOCK,0,0,11833,
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,BLOCK,0,0,11833,
0,2,Pannoy Piyanut ,L,0,0,0,0,,THA,BLOCK,1,15,11833,0
1,3,ManaKij Sirima ,S,0,0,0,0,,THA,BLOCK,1,15,11833,0
2,5,Thinkaow Pleumjit ,MB,0,1,1,2,-50.00,THA,BLOCK,1,15,11833,0
3,6,Sittirak Onuma ,OH,0,0,1,1,0.00,THA,BLOCK,1,15,11833,0
4,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,BLOCK,1,15,11833,0
5,9,Chuewulim Sutadta ,OH,0,0,0,0,,THA,BLOCK,1,15,11833,0
6,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,BLOCK,1,15,11833,0
7,11,Hyapha Amporn ,MB,0,0,0,0,,THA,BLOCK,1,15,11833,0
8,12,Chaisri Tapaphaipun ,L,0,0,0,0,,THA,BLOCK,1,15,11833,0
9,13,Tomkom Nootsara ,S,0,0,0,0,,THA,BLOCK,1,15,11833,0
10,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,BLOCK,1,15,11833,0
11,15,Kanthong Malika ,O,0,0,1,1,0.00,THA,BLOCK,1,15,11833,0
12,19,Krause Karina ,MB,0,0,0,0,,THA,BLOCK,1,15,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,BLOCK,1,15,11833,0
0,2,Pannoy Piyanut ,L,0,0,0,0,,THA,BLOCK,2,17,11833,0
1,3,ManaKij Sirima ,S,0,0,0,0,,THA,BLOCK,2,17,11833,0
2,5,Thinkaow Pleumjit ,MB,0,0,1,1,0.00,THA,BLOCK,2,17,11833,0
3,6,Sittirak Onuma ,OH,0,0,1,1,0.00,THA,BLOCK,2,17,11833,0
4,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,BLOCK,2,17,11833,0
5,9,Chuewulim Sutadta ,OH,0,0,0,0,,THA,BLOCK,2,17,11833,0
6,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,BLOCK,2,17,11833,0
7,11,Hyapha Amporn ,MB,0,0,0,0,,THA,BLOCK,2,17,11833,0
8,12,Chaisri Tapaphaipun ,L,0,0,0,0,,THA,BLOCK,2,17,11833,0
9,13,Tomkom Nootsara ,S,0,0,0,0,,THA,BLOCK,2,17,11833,0
10,14,Juangjan Pattiya ,OH,0,0,0,0,,THA,BLOCK,2,17,11833,0
11,15,Kanthong Malika ,O,0,1,2,3,-33.33,THA,BLOCK,2,17,11833,0
12,19,Krause Karina ,MB,0,2,1,3,-66.67,THA,BLOCK,2,17,11833,0
13,24,Nuanjam Watchareeya ,MB,0,0,0,0,,THA,BLOCK,2,17,11833,0
0,5,Thinkaow Pleumjit ,MB,1,1,0,2,0.00,THA,BLOCK,3,16,11833,0
1,6,Sittirak Onuma ,OH,1,0,0,1,100.00,THA,BLOCK,3,16,11833,0
2,2,Pannoy Piyanut ,L,0,0,0,0,,THA,BLOCK,3,16,11833,0
3,3,ManaKij Sirima ,S,0,0,0,0,,THA,BLOCK,3,16,11833,0
4,8,Sang-Ob Tirawan ,MB,0,0,0,0,,THA,BLOCK,3,16,11833,0
5,9,Chuewulim Sutadta ,OH,0,0,1,1,0.00,THA,BLOCK,3,16,11833,0
6,10,Apinyapong Wilavan (C),L,0,0,0,0,,THA,BLOCK,3,16,11833,0
7,11,Hyapha Amporn ,MB,0,0,0,0,,THA,BLOCK,3,16,11833,0
8,12,Chaisri Tapaphaipun ,L,0,0,0,0,,THA,BLOCK,3,16,11833,0
9,13,Tomkom Nootsara ,S,0,0,0,0,,THA,BLOCK,3,16,11833,0
10,14,Juangjan Pattiya ,OH,0,1,0,1,-100.00,THA,BLOCK,3,16,11833,0
11,15,Kanthong Malika ,O,0,0,0,0,,THA,BLOCK,3,16,11833,0
12,19,Krause Karina ,MB,0,1,0,1,-100.00,THA,BLOCK,3,16,11833,0
