num_race,num_set,Country,win_or_lose,attack_scores,attack_errors,block_effective,block_errors,dig_succeeded,dig_errors,reception_succeeded,reception_errors,serve_scores,serve_errors,set_efficiency
13829,0,THA,,56,14,14,27,43,14,21,4,6,11,0.943
13829,1,DOM,0.0,14,5,5,2,14,4,3,2,1,2,0.889
13829,1,THA,1.0,15,2,3,2,13,2,7,1,2,3,0.938
13829,2,DOM,1.0,15,6,4,5,14,4,5,2,3,3,0.967
13829,2,THA,0.0,11,3,4,8,9,4,3,3,2,3,0.929
13829,3,DOM,1.0,18,5,6,4,9,3,4,2,0,3,1.0
13829,3,THA,0.0,13,4,4,7,9,4,3,0,2,2,0.933
13829,4,DOM,1.0,17,1,9,8,11,4,4,0,0,3,0.966
13829,4,THA,0.0,17,5,3,10,12,4,8,0,0,3,0.969
13830,0,CHN,,39,10,20,9,36,7,18,1,3,8,0.0
13830,0,POL,,30,20,7,12,26,9,14,3,1,11,0.0
13830,1,CHN,1.0,13,0,3,1,9,3,2,0,3,2,0.0
13830,1,POL,0.0,6,6,2,5,4,3,6,3,0,3,0.0
13830,2,CHN,1.0,14,5,7,2,13,2,8,1,0,4,0.0
13830,2,POL,0.0,11,6,3,4,11,3,3,0,1,4,0.0
13830,3,CHN,1.0,12,5,10,6,14,2,8,0,0,2,0.0
13830,3,POL,0.0,13,8,2,3,11,3,5,0,0,4,0.0
13831,0,BRA,,39,12,28,16,35,10,9,3,4,3,0.974
13831,0,KOR,,28,22,8,14,26,5,14,4,3,8,0.933
13831,1,BRA,1.0,12,3,6,6,8,2,2,1,2,2,0.962
13831,1,KOR,0.0,9,7,5,6,8,1,3,2,1,3,0.958
13831,2,BRA,1.0,11,6,11,8,12,3,3,2,1,0,1.0
13831,2,KOR,0.0,11,10,3,3,9,2,4,1,2,3,0.969
13831,3,BRA,1.0,16,3,11,2,15,5,4,0,1,1,0.962
13831,3,KOR,0.0,8,5,0,5,9,2,7,1,0,2,0.882
13833,0,JPN,,50,28,15,11,54,12,45,2,4,7,0.013
13833,0,TUR,,55,17,37,16,53,5,43,2,2,8,0.053
13833,1,JPN,0.0,9,4,5,1,9,2,8,1,2,3,0.0
