Unnamed: 0,Player No,Player Name,Position,Digs,Errors,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
1,12,Mazzaro Alessia ,MB,3,0,3,100.0,ITA,DIG,4,30,16026,1.0
2,16,D'Odorico Sofia ,OH,3,2,7,14.29,ITA,DIG,4,30,16026,1.0
3,20,Parrocchiale Beatrice ,L,3,2,5,20.0,ITA,DIG,4,30,16026,1.0
4,4,Bosio Francesca ,S,2,1,4,25.0,ITA,DIG,4,30,16026,1.0
5,11,Danesi Anna ,MB,1,1,2,0.0,ITA,DIG,4,30,16026,1.0
6,32,Malual Adhuoljok John Majak ,O,1,0,1,100.0,ITA,DIG,4,30,16026,1.0
7,2,Degradi Alice Carlotta ,OH,0,0,0,,ITA,DIG,4,30,16026,1.0
8,5,Battistoni Ilaria ,S,0,0,0,,ITA,DIG,4,30,16026,1.0
9,15,Nwakalor Sylvia Chinelo ,O,0,0,0,,ITA,DIG,4,30,16026,1.0
10,17,Sylla Myriam Fatime (C),OH,0,0,0,,ITA,DIG,4,30,16026,1.0
11,19,Squarcini Federica ,MB,0,0,0,,ITA,DIG,4,30,16026,1.0
12,22,Panetoni Sara ,L,0,0,0,,ITA,DIG,4,30,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,,ITA,DIG,4,30,16026,1.0
0,20,Parrocchiale Beatrice ,L,3,0,3,100.0,ITA,DIG,5,15,16026,1.0
1,11,Danesi Anna ,MB,2,0,2,100.0,ITA,DIG,5,15,16026,1.0
2,21,Omoruyi Oghosasere Loveth ,OH,2,0,2,100.0,ITA,DIG,5,15,16026,1.0
3,12,Mazzaro Alessia ,MB,1,1,5,0.0,ITA,DIG,5,15,16026,1.0
4,16,D'Odorico Sofia ,OH,1,1,2,0.0,ITA,DIG,5,15,16026,1.0
5,2,Degradi Alice Carlotta ,OH,0,0,0,,ITA,DIG,5,15,16026,1.0
6,4,Bosio Francesca ,S,0,0,1,0.0,ITA,DIG,5,15,16026,1.0
7,5,Battistoni Ilaria ,S,0,0,0,,ITA,DIG,5,15,16026,1.0
8,15,Nwakalor Sylvia Chinelo ,O,0,1,1,-100.0,ITA,DIG,5,15,16026,1.0
9,17,Sylla Myriam Fatime (C),OH,0,0,0,,ITA,DIG,5,15,16026,1.0
10,19,Squarcini Federica ,MB,0,1,1,-100.0,ITA,DIG,5,15,16026,1.0
11,22,Panetoni Sara ,L,0,0,0,,ITA,DIG,5,15,16026,1.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,,ITA,DIG,5,15,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,,ITA,DIG,5,15,16026,1.0
0,19,Moksri Chatchu-On ,OH,16,5,25,44.0,THA,DIG,0,0,16026,
1,20,Pairoj Supattra ,L,14,1,17,76.47,THA,DIG,0,0,16026,
2,16,Kokram Pimpichaya ,O,11,1,15,66.67,THA,DIG,0,0,16026,
3,2,Pannoy Piyanut (C),L,9,2,14,50.0,THA,DIG,0,0,16026,
4,3,Guedpard Pornpun ,S,7,4,13,23.08,THA,DIG,0,0,16026,
5,18,Kongyot Ajcharaporn ,OH,7,3,13,30.77,THA,DIG,0,0,16026,
6,5,Nuekjang Thatdao ,MB,6,2,8,50.0,THA,DIG,0,0,16026,
7,1,Srithong Wipawee ,OH,0,0,0,,THA,DIG,0,0,16026,
8,4,Kamlangmak Chitaporn ,MB,0,0,0,,THA,DIG,0,0,16026,
9,12,Bamrungsuk Hattaya ,MB,0,0,3,0.0,THA,DIG,0,0,16026,
10,17,Janthawisut Sasipapron ,OH,0,5,6,-83.33,THA,DIG,0,0,16026,
11,21,Sooksod Thanacha ,O,0,1,1,-100.0,THA,DIG,0,0,16026,
12,23,ManaKij Sirima ,S,0,0,0,,THA,DIG,0,0,16026,
13,99,Bundasak Jarasporn ,MB,0,0,0,,THA,DIG,0,0,16026,
0,19,Moksri Chatchu-On ,OH,5,2,7,42.86,THA,DIG,1,26,16026,1.0
1,16,Kokram Pimpichaya ,O,4,0,5,80.0,THA,DIG,1,26,16026,1.0
2,20,Pairoj Supattra ,L,3,0,3,100.0,THA,DIG,1,26,16026,1.0
3,2,Pannoy Piyanut (C),L,1,0,1,100.0,THA,DIG,1,26,16026,1.0
4,18,Kongyot Ajcharaporn ,OH,1,1,4,0.0,THA,DIG,1,26,16026,1.0
5,1,Srithong Wipawee ,OH,0,0,0,,THA,DIG,1,26,16026,1.0
6,3,Guedpard Pornpun ,S,0,0,0,,THA,DIG,1,26,16026,1.0
7,4,Kamlangmak Chitaporn ,MB,0,0,0,,THA,DIG,1,26,16026,1.0
8,5,Nuekjang Thatdao ,MB,0,1,1,-100.0,THA,DIG,1,26,16026,1.0
9,12,Bamrungsuk Hattaya ,MB,0,0,1,0.0,THA,DIG,1,26,16026,1.0
10,17,Janthawisut Sasipapron ,OH,0,0,0,,THA,DIG,1,26,16026,1.0
11,21,Sooksod Thanacha ,O,0,0,0,,THA,DIG,1,26,16026,1.0
12,23,ManaKij Sirima ,S,0,0,0,,THA,DIG,1,26,16026,1.0
13,99,Bundasak Jarasporn ,MB,0,0,0,,THA,DIG,1,26,16026,1.0
0,2,Pannoy Piyanut (C),L,3,0,5,60.0,THA,DIG,2,17,16026,0.0
1,19,Moksri Chatchu-On ,OH,3,1,5,40.0,THA,DIG,2,17,16026,0.0
2,3,Guedpard Pornpun ,S,1,1,3,0.0,THA,DIG,2,17,16026,0.0
3,5,Nuekjang Thatdao ,MB,1,0,1,100.0,THA,DIG,2,17,16026,0.0
4,16,Kokram Pimpichaya ,O,1,1,2,0.0,THA,DIG,2,17,16026,0.0
5,18,Kongyot Ajcharaporn ,OH,1,1,2,0.0,THA,DIG,2,17,16026,0.0
6,20,Pairoj Supattra ,L,1,0,2,50.0,THA,DIG,2,17,16026,0.0
7,1,Srithong Wipawee ,OH,0,0,0,,THA,DIG,2,17,16026,0.0
8,4,Kamlangmak Chitaporn ,MB,0,0,0,,THA,DIG,2,17,16026,0.0
9,12,Bamrungsuk Hattaya ,MB,0,0,0,,THA,DIG,2,17,16026,0.0
10,17,Janthawisut Sasipapron ,OH,0,0,0,,THA,DIG,2,17,16026,0.0
11,21,Sooksod Thanacha ,O,0,1,1,-100.0,THA,DIG,2,17,16026,0.0
12,23,ManaKij Sirima ,S,0,0,0,,THA,DIG,2,17,16026,0.0
