Unnamed: 0,Player No,Player Name,Position,Point,Errors,Attempts,Total,Efficiency %,Country,type,num_set,this_turn_score,num_race,win_or_lose
11,22,Panetoni Sara ,L,0,0,0,0,,ITA,ATTACK,5,15,16026,1.0
12,32,Malual Adhuoljok John Majak ,O,0,0,0,0,,ITA,ATTACK,5,15,16026,1.0
13,34,Nwakalor Linda Nkiruka ,MB,0,0,0,0,,ITA,ATTACK,5,15,16026,1.0
0,16,Kokram Pimpichaya ,O,21,8,19,48,27.08,THA,ATTACK,0,0,16026,
1,19,Moksri Chatchu-On ,OH,15,9,15,39,15.38,THA,ATTACK,0,0,16026,
2,18,Kongyot Ajcharaporn ,OH,11,3,17,31,25.81,THA,ATTACK,0,0,16026,
3,5,Nuekjang Thatdao ,MB,7,2,6,15,33.33,THA,ATTACK,0,0,16026,
4,12,Bamrungsuk Hattaya ,MB,5,3,5,13,15.38,THA,ATTACK,0,0,16026,
5,21,Sooksod Thanacha ,O,5,1,4,10,40.0,THA,ATTACK,0,0,16026,
6,3,Guedpard Pornpun ,S,2,1,1,4,25.0,THA,ATTACK,0,0,16026,
7,17,Janthawisut Sasipapron ,OH,2,5,7,14,-21.43,THA,ATTACK,0,0,16026,
8,1,Srithong Wipawee ,OH,0,0,1,1,0.0,THA,ATTACK,0,0,16026,
9,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,ATTACK,0,0,16026,
10,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,ATTACK,0,0,16026,
11,20,Pairoj Supattra ,L,0,0,0,0,,THA,ATTACK,0,0,16026,
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,ATTACK,0,0,16026,
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,ATTACK,0,0,16026,
0,19,Moksri Chatchu-On ,OH,6,3,2,11,27.27,THA,ATTACK,1,26,16026,1.0
1,12,Bamrungsuk Hattaya ,MB,4,1,2,7,42.86,THA,ATTACK,1,26,16026,1.0
2,16,Kokram Pimpichaya ,O,2,0,7,9,22.22,THA,ATTACK,1,26,16026,1.0
3,3,Guedpard Pornpun ,S,1,0,1,2,50.0,THA,ATTACK,1,26,16026,1.0
4,5,Nuekjang Thatdao ,MB,1,0,1,2,50.0,THA,ATTACK,1,26,16026,1.0
5,1,Srithong Wipawee ,OH,0,0,0,0,,THA,ATTACK,1,26,16026,1.0
6,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,ATTACK,1,26,16026,1.0
7,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,ATTACK,1,26,16026,1.0
8,17,Janthawisut Sasipapron ,OH,0,0,0,0,,THA,ATTACK,1,26,16026,1.0
9,18,Kongyot Ajcharaporn ,OH,0,1,3,4,-25.0,THA,ATTACK,1,26,16026,1.0
10,20,Pairoj Supattra ,L,0,0,0,0,,THA,ATTACK,1,26,16026,1.0
11,21,Sooksod Thanacha ,O,0,0,0,0,,THA,ATTACK,1,26,16026,1.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,ATTACK,1,26,16026,1.0
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,ATTACK,1,26,16026,1.0
0,16,Kokram Pimpichaya ,O,4,3,2,9,11.11,THA,ATTACK,2,17,16026,0.0
1,18,Kongyot Ajcharaporn ,OH,2,1,3,6,16.67,THA,ATTACK,2,17,16026,0.0
2,21,Sooksod Thanacha ,O,2,0,0,2,100.0,THA,ATTACK,2,17,16026,0.0
3,5,Nuekjang Thatdao ,MB,1,0,2,3,33.33,THA,ATTACK,2,17,16026,0.0
4,19,Moksri Chatchu-On ,OH,1,2,5,8,-12.5,THA,ATTACK,2,17,16026,0.0
5,1,Srithong Wipawee ,OH,0,0,0,0,,THA,ATTACK,2,17,16026,0.0
6,2,Pannoy Piyanut (C),L,0,0,0,0,,THA,ATTACK,2,17,16026,0.0
7,3,Guedpard Pornpun ,S,0,0,0,0,,THA,ATTACK,2,17,16026,0.0
8,4,Kamlangmak Chitaporn ,MB,0,0,0,0,,THA,ATTACK,2,17,16026,0.0
9,12,Bamrungsuk Hattaya ,MB,0,1,1,2,-50.0,THA,ATTACK,2,17,16026,0.0
10,17,Janthawisut Sasipapron ,OH,0,1,1,2,-50.0,THA,ATTACK,2,17,16026,0.0
11,20,Pairoj Supattra ,L,0,0,0,0,,THA,ATTACK,2,17,16026,0.0
12,23,ManaKij Sirima ,S,0,0,0,0,,THA,ATTACK,2,17,16026,0.0
13,99,Bundasak Jarasporn ,MB,0,0,0,0,,THA,ATTACK,2,17,16026,0.0
0,16,Kokram Pimpichaya ,O,8,3,8,19,26.32,THA,ATTACK,3,29,16026,1.0
1,19,Moksri Chatchu-On ,OH,4,1,2,7,42.86,THA,ATTACK,3,29,16026,1.0
2,18,Kongyot Ajcharaporn ,OH,3,1,8,12,16.67,THA,ATTACK,3,29,16026,1.0
3,5,Nuekjang Thatdao ,MB,2,0,1,3,66.67,THA,ATTACK,3,29,16026,1.0
